Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
1682714505,"Jul 5, 2018, 3:00:00 PM",Morning Run,Run,"",439,1.61,,,false,,,,83.91459655761719,,439.0,439.0,1609.343994140625,,,0.0,,,,,0.0,,,,,,,,,165.92970275878906,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1682715928,"Jul 5, 2018, 3:30:00 PM",Morning Run,Run,"",454,1.61,,,false,,,,83.91459655761719,,454.0,454.0,1609.343994140625,,,0.0,,,,,0.0,,,,,,,,,165.92970275878906,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1695350535,"Jul 11, 2018, 11:35:44 AM",AAAAAAAAAAA,Run,,3202,8.16,,,false,,,activities/1695350535.gpx,83.91459655761719,,3202.0,3055.0,8159.39990234375,4.900000095367432,,2.5230770111083984,,12.399999618530273,15.0,3.200000047683716,0.0,,,,,,,,,842.247802734375,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1701838099,"Jul 14, 2018, 11:32:56 AM",First 10,Run,,6773,15.87,,,false,,,activities/1701838099.gpx,83.91459655761719,,6773.0,6398.0,15874.7998046875,5.300000190734863,,4.778846263885498,,12.5,15.0,8.100000381469727,0.0,,,,,,,,,1639.23291015625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1702661045,"Jul 9, 2018, 12:00:00 PM",4 mile Time Trial,Run,"",2088,6.43,,,false,,,,83.91459655761719,,2088.0,2088.0,6437.3759765625,,,0.0,,,,,0.0,,,,,,,,,663.7208251953125,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1726702578,"Jul 25, 2018, 11:39:58 AM",Morning Run,Run,,2206,6.22,,,false,,,activities/1726702578.gpx,83.91459655761719,,2206.0,2202.0,6220.7998046875,4.300000190734863,,2.328571319580078,,12.5,15.0,6.900000095367432,0.0,,,,,,,,,642.4937744140625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1731035898,"Jul 27, 2018, 11:09:31 AM",Morning Run,Run,,3187,8.17,,,false,,,activities/1731035898.gpx,83.91459655761719,,3187.0,3115.0,8170.39990234375,4.699999809265137,,2.5250000953674316,,12.399999618530273,15.0,5.0,0.0,,,,,,,,,843.5572509765625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1737612122,"Jul 30, 2018, 11:30:20 AM",Morning Run,Run,,1862,4.96,,,false,,,activities/1737612122.gpx,83.91459655761719,,1862.0,1838.0,4967.39990234375,4.599999904632568,,0.0,,12.800000190734863,14.5,6.800000190734863,0.0,,,,,,,,,513.4072875976562,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1739831318,"Jul 31, 2018, 11:10:50 AM",Morning Run,Run,,3209,8.14,,,false,,,activities/1739831318.gpx,83.91459655761719,,3209.0,3094.0,8145.60009765625,4.0,,2.3214285373687744,,12.5,15.0,3.9000000953674316,0.0,,,,,,,,,840.9281005859375,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1744621643,"Aug 2, 2018, 11:17:27 AM",Morning Run,Run,,3047,8.14,,,false,,,activities/1744621643.gpx,83.91459655761719,,3047.0,2941.0,8143.0,4.400000095367432,,2.325000047683716,,12.5,15.0,3.799999952316284,0.0,,,,,,,,,840.6084594726562,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1749037907,"Aug 4, 2018, 12:17:47 PM",Morning Run,Run,,4131,11.19,,,false,,,activities/1749037907.gpx,83.91459655761719,,4131.0,4077.0,11194.2998046875,5.900000095367432,,4.871794700622559,,12.5,15.0,4.900000095367432,0.0,,,,,,,,,1155.5711669921875,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1753611092,"Aug 6, 2018, 11:36:04 AM",Morning Run,Run,,524,1.45,,,false,,,activities/1753611092.gpx,83.91459655761719,,524.0,519.0,1452.4000244140625,4.0,,0.0,,12.600000381469727,14.399999618530273,8.100000381469727,0.04819608852267265,,,,,,,,,150.3155975341797,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1753630125,"Aug 6, 2018, 11:49:36 AM",Morning Run,Run,,410,1.10,,,false,,,activities/1753630125.gpx,83.91459655761719,,410.0,410.0,1108.800048828125,3.9000000953674316,,0.0,,12.699999809265137,14.300000190734863,6.900000095367432,0.11724386364221573,,,,,,,,,114.98179626464844,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
